UserId,UserName,Followers,TotalTweets,TotalLikes,AverageLikes,MeanLikes,TotalReplies,AverageReplies,MeanReplies,TotalRetweets,AverageRetweets,MeanRetweets,LogFollowers,LogRetweets,PopularityCluster
742143,BBC News (World),35440335,1,336,336.0,336.0,0,0.0,0.0,61,61.0,61.0,17.38,4.13,9
1652541,Reuters,24811841,2,14534,7267.0,7267.0,0,0.0,0.0,6653,3326.5,3326.5,17.03,8.8,9
1349149096909668363,President Biden,20087507,1,37337,37337.0,37337.0,0,0.0,0.0,5695,5695.0,5695.0,16.82,8.65,9
2467791,The Washington Post,18973148,1,11214,11214.0,11214.0,0,0.0,0.0,7758,7758.0,7758.0,16.76,8.96,9
1115874631,CGTN,13387828,2,68,34.0,34.0,0,0.0,0.0,20,10.0,10.0,16.41,3.04,9
15012486,CBS News,8545941,1,996,996.0,996.0,0,0.0,0.0,388,388.0,388.0,15.96,5.96,9
14780915,Rolling Stone,6340828,1,18529,18529.0,18529.0,0,0.0,0.0,6271,6271.0,6271.0,15.66,8.74,9
14260960,Justin Trudeau,6035309,1,2740,2740.0,2740.0,0,0.0,0.0,333,333.0,333.0,15.61,5.81,9
15754281,USA TODAY,4660521,2,81,40.5,40.5,0,0.0,0.0,59,29.5,29.5,15.35,4.09,9
1917731,The Hill,4327601,1,224,224.0,224.0,0,0.0,0.0,92,92.0,92.0,15.28,4.53,9
216881337,Rand Paul,3559003,2,33979,16989.5,16989.5,0,0.0,0.0,13785,6892.5,6892.5,15.08,9.53,9
5734902,tagesschau,3456137,16,7390,214.5,461.88,0,0.0,0.0,1404,55.0,87.75,15.06,7.25,9
6433472,CBC News,3292119,1,405,405.0,405.0,0,0.0,0.0,173,173.0,173.0,15.01,5.16,9
878247600096509952,Candace Owens,3025588,1,7781,7781.0,7781.0,1,1.0,1.0,1221,1221.0,1221.0,14.92,7.11,9
38142665,Le Parisien,2975967,1,164,164.0,164.0,0,0.0,0.0,120,120.0,120.0,14.91,4.8,9
2834511,DER SPIEGEL,2945279,8,3159,118.0,394.88,1,0.0,0.12,514,15.5,64.25,14.9,6.24,9
19072286,Jan Böhmermann ?,2560412,2,9808,4904.0,4904.0,1,0.5,0.5,491,245.5,245.5,14.76,6.2,9
22708797,Harvard Health,2547392,1,96,96.0,96.0,0,0.0,0.0,41,41.0,41.0,14.75,3.74,9
5715752,ZEIT ONLINE,2477538,1,374,374.0,374.0,0,0.0,0.0,69,69.0,69.0,14.72,4.25,9
17469289,New York Post,2475214,3,3628,307.0,1209.33,0,0.0,0.0,1516,128.0,505.33,14.72,7.32,9
96877126,Koreaboo,2341034,1,2165,2165.0,2165.0,0,0.0,0.0,426,426.0,426.0,14.67,6.06,9
380648579,AFP News Agency,2283745,1,77,77.0,77.0,0,0.0,0.0,53,53.0,53.0,14.64,3.99,9
2768501,ABC News,1975604,1,62,62.0,62.0,0,0.0,0.0,27,27.0,27.0,14.5,3.33,9
14454247,SPIEGEL EIL,1888007,1,110,110.0,110.0,0,0.0,0.0,25,25.0,25.0,14.45,3.26,9
9204502,BILD,1873691,11,769,51.0,69.91,0,0.0,0.0,187,5.0,17.0,14.44,5.24,9
2228878592,Andrew Yang?????,1826795,1,9913,9913.0,9913.0,0,0.0,0.0,595,595.0,595.0,14.42,6.39,9
114508061,Süddeutsche Zeitung,1811536,3,443,12.0,147.67,1,0.0,0.33,100,7.0,33.33,14.41,4.62,9
13951532,ProSieben,1798301,1,29,29.0,29.0,0,0.0,0.0,3,3.0,3.0,14.4,1.39,9
8720562,WELT,1635003,11,756,24.0,68.73,0,0.0,0.0,225,9.0,20.45,14.31,5.42,9
2785317370,ZDF heute-show,1447264,1,3290,3290.0,3290.0,0,0.0,0.0,75,75.0,75.0,14.19,4.33,9
203123011,CTV News,1437242,1,191,191.0,191.0,0,0.0,0.0,95,95.0,95.0,14.18,4.56,9
18774524,stern,1380331,3,121,35.0,40.33,0,0.0,0.0,35,7.0,11.67,14.14,3.58,9
16012783,The Daily Beast,1359310,1,7477,7477.0,7477.0,0,0.0,0.0,2406,2406.0,2406.0,14.12,7.79,9
